Product ID,SKU,Name,Category,Price,Original Price,Discount,Description,Weight (kg),Dimensions (cm),Brand,Color,Warranty (months),Stock (units),Trending
P918971,SKU-73131,Open Home,Home & Kitchen,R$ 805.34,R$ 958.74,16%,Several woman program old scientist herself above read and.,9.0,81x44x62,"Wright, Rodriguez and Mayer",Blue,16,455,0
P161439,SKU-85914,Gas Electronics,Home & Kitchen,R$ 140.74,R$ 175.93,20%,Nice democratic type television hard high save keep to environmental moment concern art law right power personal left big lose.,4.2,28x71x70,"Livingston, Hopkins and Reid",Yellow,16,427,1
P941413,SKU-60415,Know Electronics,Home & Kitchen,R$ 1275.41,R$ 1903.6,33%,Girl with nice consumer us owner recently front pull ok.,8.8,85x42x39,Cox PLC,Black,17,54,1
P659796,SKU-43257,Civil Fashion,Home & Kitchen,R$ 369.95,R$ 468.29,21%,Far board though design happen beat sit too affect decade.,9.1,32x69x77,Harris-Rogers,Red,8,418,1
P514948,SKU-57563,Draw Books,Fashion,R$ 84.7,R$ 134.45,37%,Exist might low church even pay interview artist indicate never decide six now gas agree step simply.,5.2,29x29x37,Lane-Jimenez,Blue,13,126,0
P539829,SKU-29898,Economic Sports,Home & Kitchen,R$ 1001.67,R$ 1788.7,44%,Sing trial husband show attack skill reach even day bed know fall nor exist.,9.7,37x40x94,Pineda Inc,Yellow,6,419,1
P468694,SKU-40600,Catch Sports,Sports,R$ 871.81,R$ 1076.31,19%,Life remain into town attack feel TV drive every up toward high care various money again.,2.4,58x72x37,Mendez-Morris,Black,23,181,0
P690705,SKU-37641,Service Books,Home & Kitchen,R$ 401.53,R$ 565.53,29%,Agree front technology win crime lose above deal upon vote charge pull process.,2.1,70x87x34,"Deleon, Walls and Lee",Green,19,351,1
P52662,SKU-76383,Treat Fashion,Books,R$ 953.57,R$ 1702.8,44%,Over whose especially town significant practice through around education.,4.6,12x53x50,"Rodriguez, Robinson and Humphrey",Red,21,142,1
P798676,SKU-60892,Prepare Home,Electronics,R$ 243.16,R$ 398.62,39%,Yes opportunity live hospital study never these letter government collection site guess to yet bit.,8.8,52x85x74,Lin Inc,Blue,8,190,0
P41539,SKU-91256,Look Fashion,Fashion,R$ 859.34,R$ 904.57,5%,Itself represent mean modern two thousand every member right office listen together she road agent recently growth change far.,8.0,91x64x40,Nelson LLC,Yellow,8,186,0
P334659,SKU-7827,Both Sports,Books,R$ 217.77,R$ 345.66,37%,Send way indicate begin head fall soldier class energy them suggest.,3.0,47x59x79,"Smith, Hudson and Scott",Green,11,462,0
P583385,SKU-57269,Box Sports,Books,R$ 970.53,R$ 1198.18,19%,Hair order interesting sound prepare she player seek mean job wife box really design wait week own protect together hour.,6.0,80x66x49,"Collins, Lewis and Young",Black,14,37,1
P884749,SKU-90998,Fill Fashion,Sports,R$ 694.6,R$ 755.0,8%,Seven commercial side tend small sort see occur bar avoid room together later wall.,5.8,78x41x78,Ortiz Inc,Gray,11,30,1
P542479,SKU-41868,Reason Books,Fashion,R$ 946.46,R$ 1502.32,37%,Process article yeah turn personal market group same detail general marriage enough measure difficult fight share write experience.,9.4,58x20x50,Long-Smith,Gray,6,84,1
P768566,SKU-53518,Democrat Books,Home & Kitchen,R$ 639.19,R$ 726.35,12%,Stop voice tax guy same relate sit none indicate peace everything reflect life place guy than child oil.,9.1,79x97x47,Brown and Sons,Red,16,123,1
P767021,SKU-47617,Girl Books,Electronics,R$ 1099.24,R$ 1744.82,37%,Bad view court that doctor send yet live for enter within skill.,2.1,64x20x21,Herrera Ltd,Gray,12,245,0
P808603,SKU-46071,After Fashion,Electronics,R$ 209.84,R$ 276.11,24%,Government site bring indeed leader head have own offer even point direction number election that something.,2.8,65x80x37,Chan-Bryan,Green,23,246,1
P457026,SKU-64139,Join Books,Electronics,R$ 420.65,R$ 657.27,36%,Opportunity teach compare affect blue leg real nothing ask want argue population our.,5.3,72x42x21,"Brown, Harris and Rice",Red,20,275,0
P534214,SKU-85949,Last Sports,Home & Kitchen,R$ 970.85,R$ 1941.69,50%,Attorney participant agent detail strategy mother free product win.,2.0,15x70x82,House Inc,Black,11,390,0
P843697,SKU-76394,Southern Fashion,Books,R$ 402.74,R$ 789.68,49%,Material me adult person candidate nor various travel drive spring second wait economic medical more.,8.8,46x93x40,Hernandez-Duffy,Gray,12,163,0
P119430,SKU-77641,Design Electronics,Sports,R$ 330.59,R$ 429.34,23%,Early all although wide make happen pressure condition model.,6.5,100x45x98,Rios and Sons,Yellow,19,312,0
P949482,SKU-58871,Tough Fashion,Fashion,R$ 1133.61,R$ 1574.46,28%,Dream against light dream pretty with appear by rock consumer always.,5.9,70x64x45,Cole Inc,Yellow,22,174,0
