Product ID,SKU,Name,Price,Original Price,Discount,Description,Weight (kg),Dimensions (cm),Brand,Warranty (months),Stock (units),Trending,Category_Books,Category_Electronics,Category_Fashion,Category_Home & Kitchen,Category_Sports,Color_Black,Color_Blue,Color_Gray,Color_Green,Color_Red,Color_White,Color_Yellow
P918971,SKU-73131,Open Home,0.41640466558647116,0.4659691234548905,16%,Several woman program old scientist herself above read and.,0.894736842105263,81x44x62,"Wright, Rodriguez and Mayer",16,0.91,0,False,False,False,True,False,False,True,False,False,False,False,False
P161439,SKU-85914,Gas Electronics,0.059832820061592615,0.06446632815304919,20%,Nice democratic type television hard high save keep to environmental moment concern art law right power personal left big lose.,0.3894736842105263,28x71x70,"Livingston, Hopkins and Reid",16,0.854,1,False,False,False,True,False,False,False,False,False,False,False,True
P941413,SKU-60415,Know Electronics,0.6686070842230641,0.950587269836385,33%,Girl with nice consumer us owner recently front pull ok.,0.8736842105263158,85x42x39,Cox PLC,17,0.108,1,False,False,False,True,False,True,False,False,False,False,False,False
P659796,SKU-43257,Civil Fashion,0.18280879465195887,0.21441760270810895,21%,Far board though design happen beat sit too affect decade.,0.9052631578947368,32x69x77,Harris-Rogers,8,0.836,1,False,False,False,True,False,False,False,False,False,True,False,False
P514948,SKU-57563,Draw Books,0.029766184155462325,0.043191260193875966,37%,Exist might low church even pay interview artist indicate never decide six now gas agree step simply.,0.4947368421052632,29x29x37,Lane-Jimenez,13,0.252,0,False,False,True,False,False,False,True,False,False,False,False,False
P539829,SKU-29898,Economic Sports,0.5217398302447609,0.8916551264297071,44%,Sing trial husband show attack skill reach even day bed know fall nor exist.,0.9684210526315788,37x40x94,Pineda Inc,6,0.838,1,False,False,False,True,False,False,False,False,False,False,False,True
P468694,SKU-40600,Catch Sports,0.4520672153487923,0.5262707083140995,19%,Life remain into town attack feel TV drive every up toward high care various money again.,0.19999999999999996,58x72x37,Mendez-Morris,23,0.362,0,False,False,False,False,True,True,False,False,False,False,False,False
P690705,SKU-37641,Service Books,0.1997521273056989,0.2642919423501051,29%,Agree front technology win crime lose above deal upon vote charge pull process.,0.16842105263157894,70x87x34,"Deleon, Walls and Lee",19,0.7020000000000001,1,False,False,False,True,False,False,False,False,True,False,False,False
P52662,SKU-76383,Treat Fashion,0.4959331709463158,0.8475970662153152,44%,Over whose especially town significant practice through around education.,0.431578947368421,12x53x50,"Rodriguez, Robinson and Humphrey",21,0.28400000000000003,1,True,False,False,False,False,False,False,False,False,True,False,False
P798676,SKU-60892,Prepare Home,0.11478329917483072,0.1786839000871929,39%,Yes opportunity live hospital study never these letter government collection site guess to yet bit.,0.8736842105263158,52x85x74,Lin Inc,8,0.38,0,False,True,False,False,False,False,True,False,False,False,False,False
